seed,days,cycles
P2T8v?&k]1,5,1
r-Rkoqs[(z,5,9
)q3sE@WX.O,5,11
(]bSRe0Fqj,5,8
"x#]<|2E9""`",5,1
da+aM7h9Y?,5,3
x8PqAn2lN2,5,1
HjaS-=&^Hx,5,1
4p(PiYTDsV,5,1
"P3/h;2>t""G",5,1
+>4*i^#)mu,5,2
".+d=66#,2'",5,1
E'w5^~w(C:,5,2
dfIBev;Htz,5,1
K]aBz_jN!(,5,3
e1EZs-2<e0,5,2
"6Asf,2mZ{}",5,1
a`j%?;aD2o,5,1
W<dw&+pSRJ,5,1
"Fy,tron[}l",5,2
"Z13:OJ6?,S",5,7
}&fX-;&I5W,5,10
"YH1""y38ZfR",5,2
"%5""GvsJ~z'",5,1
Lq9d~Rz|Y>,5,1
"m""M#Vp,DAZ",5,1
"^>?Bk,,m*k",5,1
"ztUjG{ZKc""",5,1
A$9!k*NI'A,5,3
qfHW1wNM!=,5,1
"0_'sxNGx,Q",5,2
{yw%2!Nif-,5,5
;V>{iJ)(6K,5,4
r;6'.1Qy*',5,4
=4hz\PEu;2,5,3
%]:?\vL>vV,5,1
"|<a""]CHa!E",5,1
Y'<H>*#o/:,5,3
B15FNBM{\A,5,1
GBC\gP\2ks,5,1
:bOfYQk988,5,10
"g,xWjz|dKF",5,1
N0ECJT[mu1,5,1
dN\]KrA;JC,5,3
z:3d'ngVN7,5,1
B=Bzn]iB;N,5,1
>)yg.r>!:),5,2
b?^<]G(;!),5,3
"fwECIVY""3}",5,1
|FNt1;J0zv,5,1
Y?0le].^D4,5,1
+RA9Z)Ww@a,5,1
E-V8mYV`$',5,10
v~Q!^0ot*q,5,1
"77YL,\%2\V",5,1
CYxpJ%N7*=,5,1
"""JT10,MgdX",5,1
^1yBs6vT-&,5,1
pQDUvGeon$,5,7
!/(q$W[<Wx,5,8
"N(""OiRW}6v",5,9
YL}.n0Y-U*,5,1
utXGK+5UdE,5,1
"Wmn.d;hi,6",5,11
RB\7D](9b{,5,1
"5,]DQ\9A0%",5,1
Ey3YR>i>'q,5,1
c-~sEOn&9-,5,9
R8jms~Pwjw,5,4
YHC}69y#qL,5,7
"QJ,IT+uN5F",5,1
"h5Rx^,P%Qj",5,5
XS\*`ly`lY,5,3
Ydzf6lPKM4,5,8
9$y_n\.A^8,5,2
%_4XS1G1ln,5,1
.XW:EQ\/HT,5,1
IyR|4pKeF(,5,8
(t3}^9VZ|3,5,4
UwBx$w&N^x,5,5
AT7<u>F:.[,5,1
D+Plei7lX[,5,5
I4&|6|5d`h,5,3
u'IC!C1=X{,5,3
3lH.NzgF1C,5,2
(#=*NgzA_U,5,2
"+mJ'""Xpf)*",5,2
"V#?`,(%78""",5,12
?J_1%`T~.1,5,1
$L^6>g]8Zg,5,1
e}-0PK>B7g,5,1
"$|6,&U0fr5",5,6
12>omU!MtD,5,1
"gR~,oObLP6",5,1
"(""+ob*""IQR",5,1
@pXM$SD`w4,5,4
"""*r'UQnO-V",5,4
aJSvSe_w$w,5,1
J0Es/8Y}YG,5,1
"A,JNU$Jube",5,7
D/eJh=0SO],5,1
"S]m:""c8k4|",5,6
tx=G]tqsTB,5,1
k9)>.&dNgc,5,1
Uv)wBQ^G/5,5,8
]'i4h/bZZP,5,1
10[Fl`b{mg,5,2
"7|Bh~25M,1",5,1
H}]Df+!3!6,5,5
tD][ZazkTT,5,8
Ue&Gt7ThRc,5,1
uW6gjG|a>g,5,1
X>4|2A+Kf#,5,5
"8S=cE'OS""p",5,3
~U3!hht0'w,5,10
mU03Aa+pJ^,5,1
!'b-?KEhBY,5,1
!k'FEHh#Py,5,1
9='e$DBX>B,5,3
1K^W]db^)i,5,2
8NyO>|JMGt,5,1
r^qZ|4QrRy,5,1
K6UsA-F=&5,5,1
oiuTnIe(mN,5,1
]-5e$4P|Y9,5,10
OU}ms:6;Bi,5,3
/SV;h`@oeX,5,4
:E10C?CN]M,5,3
$rnE5D_4TW,5,3
|Bj+G7}p>T,5,3
TS(SW1Fr~M,5,1
5skGc'/X%!,5,9
".}X,M>U%F,",5,10
JFWBASyxUB,5,1
JW\Bt0fes(,5,6
MApG]wh_/),5,3
1#qWUPUXIa,5,1
n-Z4V=b[$W,5,2
O2B'|A36\),5,1
?Hs_U<m;>8,5,2
-!DwiHSb6p,5,1
*Uu&+3}MPh,5,4
3!%;[Fm6i:,5,1
Lun@BoX>wB,5,1
pbNagj`LV1,5,1
{-`:4y2)G`,5,2
"-Ab(P,m2w!",5,1
\1;rCv*#xn,5,9
&atbEtY'HA,5,13
"Ro;/lk-""!X",5,4
Wp5%/ym\90,5,1
99$njuV%]c,5,2
xanW@-rF)M,5,1
te9pbz-=BJ,5,3
V4C_7;*H)j,5,6
"UwS9F[""%%x",5,11
n2axJR>b2A,5,1
Ir_>G=beB',5,11
idH3m%Z5M8,5,4
|_U{T2|:9f,5,1
s4^P[m(L%-,5,2
C7ItSEnVN(,5,5
*xtqGVMZ=?,5,2
!+?P~FGis(,5,3
G'HD`d`u91,5,12
Z5q_Q=2b0H,5,2
JPad0|Ky-(,5,6
9vDEohPn`M,5,1
&})E9v3Eva,5,1
a/V7(~|)2D,5,1
?E~eMQK$TT,5,1
"LP!U"",Yw%]",5,1
/b=:]|[tJy,5,1
B#Nb0n\smY,5,3
l!c-+K<H&V,5,4
&lye=ShR?Z,5,1
^\-=])q<~M,5,1
?#~/DNkxr/,5,6
zLkKR<jd@n,5,1
}50Ol!ZN$g,5,1
1Oi-EP!=9s,5,2
">^MIyn)S,m",5,1
o5ZTL<WuH',5,2
x3;CTFVLr0,5,10
@x3n!y#?Bh,5,1
^{VDb2A}U8,5,1
]vmF1mF^3/,5,1
4=w*\JI@>R,5,8
"yn|K,76^@G",5,1
tA'L_Ursi#,5,1
WUGcUX!:Y.,5,5
;KhyFX*w`K,5,1
"CFDf;BCey,",5,1
=w6U('O?*r,5,1
fyuCR!w%W2,5,1
NXK|k:H?-U,5,2
e~vxN|$\5i,5,13
")d""WO3~Ob~",5,1
"B5Y(5""CX)`",5,1
)c28][~ht@,5,4
TaEU/}^d*^,5,1
N*U#t=uW.2,5,3
3:B}F!x)'E,5,4
H0UFy1e3@l,5,4
Ox3xxo6H}6,5,2
$(]F{IoAKL,5,1
"+vm&aT%G""k",5,1
3l:)%2:{%6,5,1
w7I>F~{4IX,5,3
"yNm9,8w/Z@",5,6
lek7k~STfJ,5,1
"Z%'c""n.|f$",5,4
F)qj5X{^Xv,5,1
(yj}\_L\C4,5,1
6V-U$`kd#9,5,1
"""kh%:&$xT\",5,11
O}D\`l-BlL,5,1
"}rCzA}'&,s",5,3
M@$$:}y#42,5,1
vq3G{QngZN,5,1
viKc5cq~Nd,5,1
ygWQVEtqAX,5,3
U0*l2#[-NA,5,1
t5j@bd)WV=,5,2
TmJI{gSEXE,5,10
.+tk:mh2aO,5,1
%Pk$pwI&;V,5,1
5`nmdl@HEe,5,1
;WdO8}R_+;,5,1
"}~M2""k)pO""",5,1
hQ+0/<5hB1,5,5
xLU{k9AKBM,5,1
",7QN>saV[W",5,1
?LxzMHYEVH,5,1
KP|4|LcFj1,5,1
z7)7_k-CSe,5,6
$?QW8?xHZs,5,1
`_JpawsqiB,5,1
"]h@aeLvZ""V",5,1
(dL$3&fR`[,5,1
"-~J{""-Mc1M",5,2
W{LqGPfaPu,5,5
w:Xqv$gQ6E,5,10
"kJF&H#y0v""",5,14
D*Mrs4~YcE,5,4
"P>6-1#/ng,",5,1
"i,:6\\f;+z",5,1
"bJt}_""DOS!",5,3
vZLa{yz'>!,5,1
wC_g?PSGdP,5,6
n*An*ACv2E,5,1
TC7qYC._Wx,5,2
a_J4=LmRM<,5,3
"`UvjP4Vm""i",5,4
.(0jWd']g{,5,2
;${uR|}J]4,5,4
rg#Q'&!1`$,5,2
"?'c"";c=A_3",5,1
ME0#Dfwk<\,5,3
ZNHLhj^Rc@,5,1
6KH>?gP!YE,5,1
L9XH.ii6=(,5,1
W>`9p%5#B*,5,1
mWg9w'CoWS,5,1
2)8KtQfl(G,5,12
"84mJS\d5,;",5,1
2~r>3W>`l/,5,12
{:*<7'`MWJ,5,3
2ZU~(/LLM[,5,1
|s0mipd|m|,5,12
";_;(p,^:(e",5,1
CbP=|Ere>_,5,1
;^LW*UcN7],5,1
th\}aE#{$O,5,8
"e$I_9OxH""v",5,2
_;p$><e28/,5,1
"*afhgVT""v8",5,5
(leP?{D1k1,5,2
"5AxY',p!Zd",5,2
<#MMe1ELxM,5,2
M[Rs{z]w]],5,1
"Q""FYR\;@]-",5,3
"28<kfxkRP""",5,2
E/p*%5\*d\,5,1
"ol{Fk""1czV",5,1
"]""i4h-u,S=",5,1
?a>iwEKwj~,5,4
-ka7;8gP_;,5,6
W:Yn6YE'%#,5,1
Dk9X5GKo|b,5,2
&E$7[>)*7w,5,7
DE.`S{wWqD,5,3
t=n>0rLBjM,5,4
b'6Cj#jeDX,5,2
=mqQ+=)X0/,5,3
i_2*Hd=4i<,5,1
:OW]F6lmk-,5,4
LF@Xk[tkqz,5,1
jh]U&O?A>e,5,3
MTV\4vhC;`,5,3
NhLF@I+j'r,5,1
mzC4m'daR\,5,10
>T-cGgQr>6,5,9
"oc<d""Q3>jv",5,1
$lK+f0gx:d,5,2
*;[W~Yi`bU,5,10
4Oj:KuBF#(,5,10
My5.R71H}F,5,1
Ts.|Xg_8aA,5,2
@+w~Fs9=}`,5,1
hsz1kL)t]E,5,2
2p76$+AqM#,5,1
"@u#W@t8AE""",5,1
bZ]'*Q'gjk,5,4
YW!9%2yngr,5,5
s'D89M@a%r,5,2
"en#K""*dZEq",5,1
^Un?dlzxk!,5,1
?b_3kmpqEj,5,1
c5*Yr9L=ev,5,4
={re3NP+@@,5,10
</]_aK_*6m,5,1
|R?Zz^'T$L,5,5
?G9zm_([e?,5,1
/vc-]312\J,5,4
gK_2/!2ebm,5,1
Ln/iisucA%,5,1
{3OX&DL7:z,5,1
[Tr=<c^yv*,5,9
~7Z7hW3%HK,5,1
|bRn;%Rtl0,5,2
2\nLyI'=FB,5,5
;a)+~57vF%,5,1
t9mapduXE*,5,1
HmUTwT_^XP,5,1
es{`-zOBfL,5,1
N75w5>ezzE,5,1
OxwuR&kD7M,5,4
S><7D)X*0a,5,1
Yu<Ak]l/{g,5,7
zE\{?XFYRg,5,1
C3+3Wl4)EM,5,8
"MkQ{,a}pY/",5,3
`8\sA4esBL,5,3
HRccqO-h1Y,5,3
"^OTN8*,c@m",5,1
P;g@Lu*fRO,5,1
?B0-<q?qE(,5,6
hBxl@UpRg1,5,1
GVTSm)fUyO,5,1
+ynMR`35q@,5,1
}`15'iuF#(,5,1
^U#-:YXiAb,5,2
`huz6}%heM,5,3
FhwO-+k7c[,5,1
Q0tbGQ#Yx$,5,1
0{T>PYDBkd,5,1
u<wiEY@6m3,5,6
",NJ5>;dhBA",5,1
Fy6tZjP8e#,5,3
69H5vceUVB,5,1
"h4-m3a,%`5",5,3
aDl]%9<glC,5,8
hi6u1nPUKL,5,1
DXpXNBaV~x,5,1
xv$wNzvGZT,5,1
"{V,O=K8by*",5,1
P\(Mg6XQ<i,5,1
56#`sCn\&0,5,3
"N)Rlt6~J(""",5,1
ohL2>HAz5h,5,1
"/Y,{h<38D|",5,1
kv<mMUJe7y,5,4
e`HI)Jl&aQ,5,1
;?#yUmsW`*,5,4
~{@h;=B%~i,5,1
G{yP[%2$5~,5,1
{N43hFhFXe,5,6
B/gUf>oMBf,5,1
<]^*?cnZxM,5,1
J9z/g/qeX[,5,1
"MsI0<Tf!w""",5,1
s}#$`4LAkC,5,1
p7t@bk}lMX,5,1
?!q0\9]I5%,5,1
iM()ghYM\r,5,1
"HyOE,~WtkI",5,1
qH20l49'E[,5,1
"+vff,Y}whm",5,1
3wI]z{B~>;,5,2
"sSD{-`,.(I",5,8
6kJMi7/[ba,5,1
"V7-'s""SNWA",5,1
"FxNXA'9""Sz",5,5
"scgQt/E""@G",5,1
fr/v|`RSp#,5,6
"`GwrpD[h""?",5,1
2F!P:S2/UI,5,5
>4{XxUU*wU,5,3
>e|d!Vl]_p,5,6
4D|ZUs4VL+,5,1
Hx_;Q6<q+<,5,5
`13RUQE1#.,5,1
8\_i0b(-l\,5,1
P&9zsTI;o~,5,1
6{k(#>@Axt,5,6
i=r2IO/ieu,5,1
'fOoFdJ]?m,5,1
2*A{$(vc`j,5,8
o\NrT41zn.,5,1
KE-:pBkhw5,5,6
2?X^lS**@Y,5,2
S%/U^Q0@&c,5,1
"#H/=[P[G)""",5,2
\pAZ;2Bc8n,5,7
~zbaFv/WGG,5,1
?$\8kq/yV>,5,1
#zZ8~P#Ep},5,12
",V:S1Bz4@M",5,1
f[Tn!aK^$K,5,5
^bBp?tjfS4,5,3
ZpA)Cv')}#,5,1
^CSW=2O^S.,5,1
<Whodx)-1O,5,5
G9~}2}Qpi2,5,1
{&H#4?{r6T,5,1
Ki<(88H{#i,5,9
=!G!{VCL2N,5,1
uU'&Fm./zm,5,13
{y(jz=#3l1,5,1
E5>jhBh2O>,5,4
q@k]I)bF~c,5,1
51o24e@/S/,5,1
W!zw5lNlo%,5,1
=?adj`*8V.,5,8
On0|5|]}R+,5,9
+eVP.Z;IzI,5,5
"yZ[m,+""Vme",5,4
Ll'wn-Ro`=,5,1
(|85]i%MzR,5,1
"DFr2c(,=G!",5,9
-Syf>C\hMy,5,1
da>:V*:3`a,5,7
OMj!x+k?M!,5,1
kdl|EH:?wz,5,1
"B(kz4)_p""|",5,6
@<&Lz\~j5?,5,2
MLv?zKGf-2,5,10
7UQ\d\{-uW,5,2
"z*^H6#""6N)",5,12
ij.TnY.E}+,5,1
CQZQ)ZBD8;,5,4
4?\LsgoP/p,5,4
anElqYo3Ny,5,1
WR@CX!58Z@,5,11
wOuXH^IT};,5,1
IVT>}t@6EC,5,1
<~v.Am6Pb],5,1
S@<S5pdX'&,5,1
vmACVA/5S-,5,2
.0.hLz]e16,5,6
"}}F4GKM""8r",5,1
g0'=EuOdtw,5,1
3!Ky]h_WXS,5,1
U<[#Dt3Qj',5,1
|HCan_WYHI,5,4
@sUC)k2)%>,5,1
_^cso{AW@r,5,1
W%.}O={Z{`,5,1
W|]_y>^3y;,5,3
Mn){h5jtU],5,1
_sHe?aPHtp,5,1
VH*OUWGz90,5,2
+9Db+G{|0n,5,4
w)TM~VZLd],5,5
[eAoOwJ&b:,5,1
"7,)k-fprT3",5,1
yppK9e#]Zn,5,7
"X>tA,~TR<p",5,2
}ypq.DHq)g,5,8
pTHR`dKOx^,5,1
utDr^ffVY',5,3
o's#QWY*|#,5,1
Tu=v7=su4),5,3
II#mNF&P*V,5,1
<^/.Y)2e/X,5,2
pGW/;[X>Qv,5,7
U8Op<^/A!O,5,11
7W}~oth:_x,5,1
".|,GxV6p#n",5,1
",xEkQS+Pb9",5,1
7oj5~I<b8?,5,1
"h""jY._a>~(",5,1
"R`""o?owQ:^",5,1
"hlq$R4>2,X",5,1
ojO1wNoZg#,5,9
P3]g&ZLn5n,5,2
u?:Gm5#QPB,5,1
tq$zKWAPHY,5,4
+EZE}@is@W,5,2
[MeW0Je'eG,5,1
%hCT=BTf|z,5,1
"B;,e1{)rr$",5,1
iv=kY0/Ir?,5,1
WuxV31-ng-,5,1
lbV*a>j_y-,5,6
j^N.y8B{jI,5,1
7``;lF^ns7,5,6
u1~jVzX\)|,5,1
;Tkx>5f%Da,5,3
h~L6PEVcR^,5,1
)a#|?IIgl4,5,2
"cle,&!1y/i",5,1
T:x$8|VQxO,5,10
L_MK4obVv/,5,1
J}I7bxh{5r,5,4
nZjCg4JM<v,5,9
nujUxy54Mx,5,6
3z~*ZW{/ou,5,1
"uB~j1r7""D7",5,3
q&wD~9kl/j,5,1
Z^}_\v0qV#,5,1
DB-:2`(Do],5,1
X1pd3X;\h^,5,2
*#En<{=)T0,5,5
^Fz';E3d4E,5,1
Qy5Y+]#4gE,5,1
/?O%5(UF[O,5,9
n#qaxRFjgQ,5,7
@~DQe>(E|},5,1
s5p=cA@8s',5,3
nM0\3tm4V:,5,1
H';;A%HF{B,5,4
"L{=g]/f""k+",5,7
"',A4Uom4Qj",5,3
IUFG/ax%+-,5,1
M6W7_:}o%L,5,2
tt@lU$%nXq,5,1
4[l%F'v_F!,5,5
",&A{/kEr6=",5,1
k@WN_0`A-&,5,1
"v1$C#l"":Pr",5,1
O!(Pmf{>?],5,6
xy]PKC%V=Y,5,1
=l<uhe&^kx,5,1
"=@N"".}eWI6",5,4
7$;LlR;d/c,5,1
2O@!Hdu5*V,5,1
hta#c:VU8),5,6
F85dg<FNmB,5,1
NMkqcZYma7,5,12
E4-cry1!@J,5,2
gmmSydgmj5,5,1
O)$1^&$Xp{,5,4
2im0Ir+sme,5,1
?^i?nnXm&?,5,1
/jgKN}2&Of,5,1
<eHGKg9meQ,5,1
`W'?76!NA1,5,2
-^wymHo&H6,5,11
BcWW/_;DhN,5,1
<C6AR3RVEO,5,3
"%,n%f82@g2",5,1
tlW>j8zJFl,5,3
Kv+F{DiWIn,5,5
M?MmYOfH3',5,1
"&K*QILb,/2",5,1
r73$SZAtWc,5,7
i_3>S)e(QS,5,6
Zss[x>H\XY,5,1
d9d^GpQOjT,5,1
faM3I\.7nH,5,1
eD/*P/cX3Q,5,1
"INx:^b|X""E",5,6
mh-KCrk@O?,5,9
+/usO44u6(,5,14
6PE2t(0!tZ,5,14
"<u}tD""I87G",5,1
pS*x6}'>!>,5,2
tFQHsL@#;',5,3
Y|]wDJ}IxT,5,1
B[Or2]ybAl,5,3
LV}elJ-XbY,5,3
@['9jfl'v8,5,3
DAqBYS;4l/,5,1
ZSNpt`HE<%,5,2
s@=X#T<HfU,5,1
1M[Zo?r%e^,5,1
H!<c~#jqZ\,5,2
I|v%!p^P5',5,5
Y`'atkT%!.,5,1
J@x]:Mq4E>,5,1
"kkJa!%p""KL",5,6
G{vx%R\|N#,5,4
"v(6Y<S""J\p",5,5
Su*^oO2QtX,5,1
;n}'5Ss`52,5,2
|A5l7kplZP,5,1
"u""UOpQoy,>",5,9
IA#Q3p&|~_,5,6
@k\W8&&N?;,5,1
I&FV!$k$9`,5,2
8v$ww.H}Ce,5,1
Y.B'\Sx'q=,5,1
foAA;:tXrL,5,1
>B{ap8]VXD,5,1
5{^Y!Ef}0],5,1
kp'+q`tY/R,5,1
"Yq""Iov*9Q0",5,5
*~IeSZO41U,5,1
V])u7O#xN.,5,5
\_VX#W4.GZ,5,2
g~p!eOgCCH,5,4
"i\x33)4@d,",5,1
^\trz:;b6e,5,1
*0zNq%[>$R,5,1
`yT?|<1%m2,5,4
";0dCUU|,6m",5,1
nY_55q-QS4,5,1
|K>vg~/rs_,5,11
H`}ZE9rl@_,5,6
[.MqKV?\Vw,5,7
w&uC=NH86D,5,1
"-pgd""g$%pd",5,1
"B_Vzf""vc2*",5,1
P+<k~^[85^,5,4
TK/g1~B#*~,5,2
h{X.cL@zgk,5,2
"@tEXGM,*</",5,4
}e<Fp|haJ[,5,11
@t!jA*I84K,5,1
Z{=|N_DQbE,5,1
Tv'u+p=z7<,5,4
lQlCKKg{Ry,5,4
whBN:aNx[i,5,1
<FcfJeAri$,5,1
Z7.Arnse:*,5,1
EkbpRh}h-+,5,1
(xx9G{/?HA,5,5
yYl^&C|E6',5,9
uOsz[M/7O7,5,1
"\NumaH,DYi",5,1
"E""JkdF'p9%",5,6
19C%L51$?.,5,2
i`z6GEosF:,5,1
^e#Flb@[Wj,5,6
_@TRN-q.rF,5,2
"&8""ZhFWxm9",5,1
"+kq&Yf;V*""",5,6
H]^FE*>;XU,5,1
Kj'23s20RN,5,1
`k}{CZaJ|c,5,11
"9>_W/?""4;e",5,8
"uuLU94H,Av",5,1
jK%lGv#St3,5,2
"|yCJlVG,,[",5,1
XpauAKrNX^,5,1
:<A9&!(G@d,5,2
h(v;=<f`-:,5,1
&*%o\'8@Oj,5,2
"cJ*{""BQgYB",5,3
cYgR)mu^7m,5,8
Zj$Z}j6*DD,5,1
RJ7D<(ZYPI,5,1
tBR3al1qV8,5,6
"@]V9""k&B<=",5,3
"""EaDl&#""Up",5,1
syyJN[sY?&,5,7
uIyEE'ASz&,5,7
"yPB,bIB>O>",5,5
=Q|ZGN@ykC,5,4
:';}';wU1M,5,2
3jVyE9J4G{,5,1
|\g]ooe%_1,5,1
"IYx,p\#?|$",5,1
",~O[]~%-HT",5,1
Jq8Qt']xO@,5,1
">BWn}8,=0Q",5,1
"=C=W~""Z<U5",5,6
x^ecaE1@cv,5,1
4qU^~\~[q',5,6
axz6zE'oaM,5,1
e%~(h;%)*P,5,1
;+[dcoE}as,5,1
)6VXiV=TGE,5,3
DKq70Up7cU,5,6
"{03""/Tbgji",5,1
"P|0mebl""26",5,1
_jM_auZu<B,5,3
",%9PgB7Y""m",5,1
YqT`m>s+B4,5,5
`e2$m`]F0u,5,1
MlRRpGZ%yn,5,1
"XgsTx|7h""=",5,1
w{JX-bcH{q,5,1
"Sevv/x(\""C",5,9
p9{$?vAs9U,5,12
UIpmTh=_F`,5,1
^U[E^wL4K&,5,1
"`=Fl3AH/,5",5,1
@h90mufEz*,5,1
8MnV5U#u~i,5,1
Oz3[W~}M-q,5,2
^s;>Ao`'Wu,5,2
Rm?lDmjj18,5,1
"z10=23Ei|""",5,1
|+gTq0hB2+,5,1
On_}:TE6|B,5,9
)-6.<UBw%C,5,1
|MEM+eeT#/,5,3
